@RELATION CDNA_MICROARRAY
@ATTRIBUTE Array_ID string @PRIMARY
@ATTRIBUTE cDNA_Sequence string @REFERENCE GENE.DNA_Sequence
@ATTRIBUTE Treatment {HeatStress, Pathogen, Control}
@ATTRIBUTE Hybridizations {Cy3, Cy5}
@ATTRIBUTE Data { R, N, I } 
@ATTRIBUTE Normalization {Log, LogCenter, Threshold}
@ATTRIBUTE Regulation {Up, Down, Neither}

@DATA
Array_1,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_2,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_3,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_4,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_5,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_6,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_7,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_8,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_9,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_10, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_11, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_12, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_13, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_14, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_15,  Seq_1, Control,    Cy5,  N, LogCenter, Neither
Array_16,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_17,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_18,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_19,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_20,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_21,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_22,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_23,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_24, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_25, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_26, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_27, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_28, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_29,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_30,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_31,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_32,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_33,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_34,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_35,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_36,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_37,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_38, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_39, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_40, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_41, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_42, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_43,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_44,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_45,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_46,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_47,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_48,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_49,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_50,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_51,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_52, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_53, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_54, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_55, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_56, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_57,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_58,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_59,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_60,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_61,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_62,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_63,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_64,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_65,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_66, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_67, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_68, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_69, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_70, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_71,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_72,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_73,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_74,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_75,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_76,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_77,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_78,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_79,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_80, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_81, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_82, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_83, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_84, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_85,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_86,  Seq_2, Pathogen,   Cy3,  N, LogCenter, Neither
Array_87,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_88,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_89,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_90,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_91,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_92,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_93,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_94, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_95, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_96, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_97, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_98, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_99,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_100,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
		
@RELATION GENE
@ATTRIBUTE DNA_Sequence string @PRIMARY
@ATTRIBUTE Protein_Product string @REFERENCE PROTEIN.Protein_ID
@ATTRIBUTE Pathway string @REFERENCE PATHWAY.Pathway_ID
@ATTRIBUTE Functional_Description string
@ATTRIBUTE Accession_Number string
@ATTRIBUTE Organism string
@ATTRIBUTE Name string

@DATA
Seq_1, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_2, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_3, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_4, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_5, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_6, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_7, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_8, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_9, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3


@RELATION PROTEIN
@ATTRIBUTE Protein_ID string @PRIMARY
@ATTRIBUTE Canonical_Name string
@ATTRIBUTE Role {Enzyme, TranscriptionFactor, Other}

@DATA
P0, unknown,           Other
P1, chalcone_synthase, Enzyme
P2, trans_factor1,     TranscriptionFactor
P3, trans_factor2,     TranscriptionFactor
P4, trans_factor3,     TranscriptionFactor
P5, cAMP_kinase1,      Enzyme
P6, cAMP_kinase2,      Enzyme
P7, cAMP_kinase3,      Enzyme

@RELATION PATHWAY
@ATTRIBUTE Pathway_ID string @PRIMARY
@ATTRIBUTE Pathway_Name string
@ATTRIBUTE Pathway_Descriptor string

@DATA
Pathway_1,  chalcone_synthase,       chalcone_synthase
Pathway_2,  mitosis,                 cell_reproduction_cycle
